,Authors,Poems
20,Octavio Paz,"DESTINO DO POETA

Palavras? Sim. De ar
e perdidas no ar.
Deixa que eu me perca entre palavras,
deixa que eu seja o ar entre esses lábios,
um sopro erramundo sem contornos,
breve aroma que no ar se desvanece.
Também a luz em si mesma se perde."
21,Chico Buarque,"Mesmo que você fuja de mim 
Por labirintos e alçapões 
saiba que os poetas como os cegos podem ver no escuro.

E eis que, menos sábios do que antes 
Os seus lábios ofegantes
Hão-de se entregar assim:

ME LEVE ATÉ O FIM!"
22,Bráulio Bessa,"Mulher tu não és igual
tu não és regra, ou padrão
não existe manual
modelo nem perfeição
tu és o que quiser ser
mesmo com tanta opressão
tu és forte, tu és brava
uma força que não some
um amor valente e doce
um sentimento sem nome."
23,Jane Austen,"Elizabeth: Eu me pergunto quem descobriu o poder da poesia para espantar o amor.
Darcy: Achei que fosse o alimento do amor.
Elizabeth: Do amor belo e vigoroso. Mas se é apenas uma vaga inclinação, um pobre soneto o liquidará.

Orgulho e Preconceito"
24,Adélia Prado,"Eu quero uma licença de dormir,
perdão pra descansar horas a fio,
sem ao menos sonhar
a leve palha de um pequeno sonho.
Quero o que antes da vida
foi o sono profundo das espécies,
a graça de um estado.
Semente.
Muito mais que raízes. (Exausto)"
25,Rainer Maria Rilke,"O POETA

Já te despedes de mim, Hora.
Teu golpe de asa é o meu açoite.
Só: da boca o que faço agora?
Que faço do dia, da noite?

Sem paz, sem amor, sem teto,
caminho pela vida afora.
Tudo aquilo em que ponho afeto
fica mais rico e me devora."
26,Vladimir Maiakóvski,"Dedução

Não acabarão nunca com o amor,
nem as rusgas,
nem a distância.
Está provado,
pensado,
verificado.
Aqui levanto solene
minha estrofe de mil dedos
e faço o juramento:
Amo
firme,
fiel
e verdadeiramente."
27,Bráulio Bessa,"O importante é amar 
Sem rédeas, e sem censura 
Mesmo que a sociedade 
Às vezes seja tão dura
Amar é sentir coragem
Sem fingir, sem camuflagem
Sem medo de ser julgado
Pois quem julga um amor 
Não é juiz, não sinhô, 
É no fundo um mal amado"
28,Mário Quintana,"A convivência entre poeta e leitor, só no silêncio da leitura a sós. A sós, os dois. Isto é, livro e leitor. Este não quer saber de terceiros, não quer que interpretem, que cantem, que dancem um poema. O verdadeiro amador de poemas ama em silêncio..."
29,Cecília Meireles,"Sou entre flor e nuvem,
estrela e mar. Por que
havemos de ser unicamente
humanos, limitados em chorar?
Não encontro caminhos fáceis
de andar. Meu rosto vário
desorienta as firmes pedras
que não sabem de água e de ar."
30,Rupi Kaur,"da próxima vez que ele
comentar que os
pelos das suas pernas
cresceram de novo lembre
esse garoto que o seu corpo
não é a casa dele
ele é um hóspede
avise que ele
nunca deve passar por cima
das boas-vindas
de novo"
31,Rupi Kaur,"Toda vez que você
Diz à sua filha
Que você grita com ela
Porque a ama
Você a ensina a confundir
Raiva com bondade
O que parece uma boa ideia
Até que ela cresce
E passa a confiar em homens
que as machucam
Porque eles se parecem
Demais com você."
32,Cecília Meireles,"... Um poeta é sempre irmão do vento e da água:
deixa seu ritmo por onde passa.
... Se eu nem sei onde estou, 
como posso esperar que algum ouvido me escute?
... Ah! Se eu nem sei quem sou, 
como posso esperar que venha alguém gostar de mim? (Discurso)"
33,Lya Luft,"Um anjo vem todas as noites:
senta-se ao pé de mim, e passa
sobre meu coração a asa mansa,
como se fosse meu melhor amigo.
Esse fantasma que chega e me abraça
(asas cobrindo a ferida do flanco)
é todo o amor que resta
entre ti e mim, e está comigo."
34,Vinicius de Moraes,"Ai de quem ama

Quanta tristeza
Há nesta vida
Só incerteza
Só despedida

Amar é triste
O que é que existe?
O amor

Ama, canta
Sofre tanta
Tanta saudade
Do seu carinho
Quanta saudade

Amar sozinho
Ai de quem ama
Vive dizendo
Adeus, adeus"
35,Mario Quintana,"Voa um par de andorinhas, fazendo verão. E vem uma vontade de rasgar velhas cartas, velhos poemas, velhas cartas recebidas. Vontade de mudar de camisa, por fora e por dentro... Vontade... para que esse pudor de certas palavras?... Vontade de amar, simplesmente."
36,Mario Quintana,"No fim tu hás de ver que as coisas mais leves são as únicas
que o vento não conseguiu levar:
um estribilho antigo
um carinho no momento preciso
o folhear de um livro de poemas
o cheiro que tinha um dia o próprio vento..."
37,Mia Couto,"Quando já não havia outra tinta no mundo o poeta usou do seu próprio sangue.
Não dispondo de papel, ele escreveu no próprio corpo.
Assim, nasceu a voz, o rio em si mesmo ancorado.
Como o sangue: sem voz nem nascente."
38,Mario Quintana,"Quem faz um poema abre uma janela.
Respira, tu que estás numa cela abafada,
esse ar que entra por ela.
Por isso é que os poemas têm ritmo
- para que possas profundamente respirar.
Quem faz um poema salva um afogado."
39,Vinícius de Moraes,"Tomara

Que a tristeza te convença
Que a saudade não compensa
E que a ausência não dá paz
E o verdadeiro amor de quem se ama
Tece a mesma antiga trama
Que não se desfaz

E a coisa mais divina
Que há no mundo
É viver cada segundo
Como nunca mais..."
40,Machado de Assis,"Livros e flores

Teus olhos são meus livros.
Que livro há aí melhor,
Em que melhor se leia
A página do amor?

Flores me são teus lábios.
Onde há mais bela flor, 
Em que melhor se beba
O bálsamo do amor?"
41,Octavio Paz,A palavra quando é criação desnuda. A primeira virtude da poesia tanto para o poeta como para o leitor é a revelação do ser. A consciência das palavras leva à consciência de si: a conhecer-se e a reconhecer-se.
42,Tati Bernardi,Não tem poesia nem palavra difícil e nem construção sofisticada. O amor é simples como sorrir numa droga de fila. E não se sentir mais sozinho e nem esperando e nem desesperado e nem morrendo e nem com tanto medo.
43,Augusto Branco,"Neste mundo em que toda a informação, 
música, cinema e poesia
dão a volta ao mundo em questão de segundos,
sucessos efêmeros aparecem todos os dias, 
e por isto nunca foi tão salutar seguir a caminhar 
como os mais velhos e mais sábios:
devagar e sempre."
44,Carlos Drummond de Andrade,"Amor é bicho instruído.

Olha: o amor pulou o muro
o amor subiu na árvore
em tempo de se estrepar.
Pronto, o amor se estrepou.
Daqui estou vendo o sangue
que escorre do corpo andrógino.
Essa ferida, meu bem
às vezes não sara nunca
às vezes sara amanhã."
45,Rupi Kaur,"o amor vai chegar
e quando o amor chegar
o amor vai te abraçar
o amor vai dizer o seu nome
e você vai derreter
só que às vezes
o amor vai te machucar mas
o amor nunca faz por mal
o amor não faz jogo
porque o amor sabe que a vida
já é difícil o bastante"
46,Vitaliano Brancati,"Se a música tem um número maior de amantes do que a poesia, ou a arquitetura, ou a escultura, tal não deve ao fato de ser mais espiritual, como se costuma dizer, mas sim devido ao fato contrário: é mais sensual."
47,Francis Bacon,"Sempre se admitiu que a poesia participava do divino porque eleva e arma o espírito submetendo a aparência das coisas aos desejos da alma, enquanto a razão constrange e submete o espírito à natureza das coisas."
48,Rupi Kaur,"Não quero ter você para preencher minhas partes vazias. 
Quero ser plena sozinha.
Quero ser tão completa que poderia iluminar a cidade. 
E só aí quero ter você, porque nós dois juntos botamos fogo em tudo."
49,Sociedade dos Poetas Mortos,"Todos nós temos uma grande necessidade de aceitação, mas vocês devem confiar que suas crenças são únicas, suas próprias. Mesmo que as pessoas as achem estranhas ou impopulares, mesmo que todos forem embora."
50,Álvaro de Campos,"Partir! 
Nunca voltarei, 
Nunca voltarei porque nunca se volta. 
O lugar a que se volta é sempre outro, 
A gare a que se volta é outra. 
Já não está a mesma gente, nem a mesma luz, nem a mesma filosofia."
51,Aristóteles,"O historiador e o poeta não se distinguem um do outro pelo fato de o primeiro escrever em prosa e o segundo em verso. Diferem entre si, porque um escreveu o que aconteceu e o outro o que poderia ter acontecido."
52,Vinicius de Moraes,"Seja Feliz

Foi, fico como todo amor se vai 
Sem nem dizer aonde vai 
foi e eu fiquei sem ninguém
À espera do que não vem 
Que melancolia

Foi, foi só porque eu nada fiz
Como um adeus que nem se deu 
pois seja muito feliz
Infeliz já sou eu
Pra sofrer sofro eu."
53,Vinícius de Moraes,"Poética

De manhã escureço
De dia tardo
De tarde anoiteço
De noite ardo.

A oeste a morte
Contra quem vivo
Do sul cativo
O este é meu norte.

Outros que contem
Passo por passo:
Eu morro ontem

Nasço amanhã
Ando onde há espaço:
– Meu tempo é quando."
54,Bráulio Bessa,"Prazeres simples 

Uma carta escrita à mão
achar dinheiro no bolso
cochilo depois do almoço…
curtir um feriadão
ter bicho estimação
ser grato e compreender…

Um dia vamos morrer
e sentir na despedida
que as coisas simples da vida
nos dão forças pra viver."
55,Rubem Alves,"Tem razão o poeta: “O amor é a coisa mais triste quando se desfaz.” É triste por causa do retrato:
porque ele faz lembrar uma felicidade que se teve e que não se tem mais. O retrato é uma sepultura."
56,Martin Heidegger,"Entre o pensamento e a poesia há um parentesco porque ambos usam o serviço da linguagem e progridem com ela. Contudo, entre os dois persiste ao mesmo tempo um abismo profundo, pois moram em cumes separados."
57,Mario Quintana,"Um poeta satisfeito não satisfaz. Dizem que sou tímido. Nada disso! Sou é caladão, introspectivo. Não sei porque sujeitam os introvertidos a tratamentos. Só por não poderem ser chatos como os outros?"
58,Percy Bysshe Shelley,"Um poeta é um rouxinol que se senta na escuridão,
e canta para se confortar da própria
solidão com seus próprios sons.
Seus ouvintes são homens arrebatados
pela melodia de uma música invisível,
que se sentem comovidos e em paz,
ainda que não saibam
como nem porquê."
59,paulo leminski,"um bom poema leva anos 
cinco jogando bola,
mais cinco estudando sânscrito,
seis carregando pedra,
nove namorando a vizinha, 
sete levando porrada, 
quatro andando sozinho, 
três mudando de cidade, 
dez trocando de assunto, 
uma eternidade, eu e você, 
caminhando junto"
60,Mario Quintana,"Mas o que quer dizer este poema? - perguntou-me alarmada a boa senhora.
E o que quer dizer uma nuvem? - respondi triunfante.
Uma nuvem - disse ela - umas vezes quer dizer chuva, outras vezes bom tempo..."
61,Mario Quintana,"Quando eu for, um dia desses,
Poeira ou folha levada
No vento da madrugada,
Serei um pouco do nada
Invisível, delicioso

Que faz com que o teu ar
Pareça mais um olhar,
Suave mistério amoroso,
Cidade de meu andar
(Deste já tão longo andar!)

E talvez de meu repouso..."
62,Augusto Branco,"Convém ao poeta ter amores impossíveis,
porque se ele consegue viver estes amores 
ao menos por um momento,
ele terá grande felicidade, 
mas se não conseguir vivê-los,
escreverá belas poesias."
63,Machado de Assis,"A vida é uma ópera, e uma grande ópera.
Deus é o poeta; a música é de Satanás. 
O êxito é crescente.
Poeta e músico recebem pontualmente os seus direitos autorais,
que não são os mesmos."
64,Mario Quintana,"Não tenho vergonha de dizer que estou triste, 
Não dessa tristeza ignominiosa dos que, em vez de se matarem, fazem poemas: 
Estou triste por que vocês são burros e feios 
E não morrem nunca..."
65,Augusto Branco,"Leia as palavras de um poeta no tempo em que ele era jovem
E encontrarás versos que serão como um elixir para a vida.
Leia as palavras de um poeta quando este começa a envelhecer
E encontrarás versos que mais parecerão um xarope
Que na melhor das hipóteses curará alguma tosse."
66,Augusto Branco,"Tem gente que pensa que poesia 
é coisa que se faz com letras e versos
Mas poesia não se faz com palavras, não.
Poesia a gente escreve com a vida
usando como tinta apenas a alma e o coração."
67,Sociedade dos Poetas Mortos,"Garotos, vocês devem se esforçar para encontrar suas próprias vozes. Porque quanto mais vocês esperarem para começar, menos provável que vocês possam encontrá-la. Thoreau disse: ""A maioria dos homens leva uma vida de desespero silencioso"". Não se rebaixem a isso. Saiam!"
68,Fernando Pessoa,"Eu amo tudo o que foi
Tudo o que já não é
A dor que já me não dói
A antiga e errônea fé
O ontem que a dor deixou,
O que deixou alegria
Só porque foi, e voou
E hoje é já outro dia."
69,Paulo Leminski,"Bom dia, poetas velhos.
Me deixem na boca
o gosto dos versos
mais fortes que não farei.

Dia vai vir que os saiba
tão bem que vos cite
como quem tê-los
um tanto feito também,
acredite."
70,Miguel de Cervantes,"O poeta pode contar ou cantar as coisas, não como foram mas como deviam ser; e o historiador há-de escrevê-las, não como deviam ser e sim como foram, sem acrescentar ou tirar nada à verdade."
71,Mario Quintana,"Um poema como um gole d'água bebido no escuro.
Como um pobre animal palpitando ferido.
Como pequenina moeda de prata perdida para sempre na
[floresta noturna.
Um poema sem outra angústia que a sua misteriosa condição
[de poema.
Triste.
Solitário.
Único.
Ferido de mortal beleza."
72,Wolfgang Amadeus Mozart,"Não consigo escrever poesia: não sou poeta. Não consigo dispor as palavras com tal arte que elas reflitam as sombras e a luz, não sou pintor... Mas consigo fazer tudo isso com a música..."
73,Gustave Flaubert,"Há no mundo uma conjura geral e permanente contra duas coisas, a poesia e a liberdade; as pessoas de gosto encarregam-se de exterminar uma, tal como os agentes da ordem de perseguir a outra."
74,Cazuza,"O amor é o ridículo da vida. A gente procura nele uma pureza impossível, uma pureza que está sempre se pondo. A vida veio e me levou com ela. Sorte é se abandonar e aceitar essa vaga ideia de paraíso que nos persegue, bonita e breve, como borboletas que só vivem 24 horas. Morrer não dói."
75,Mario Quintana,"OS DEGRAUS

Não desças os degraus do sonho 
Para não despertar os monstros. 
Não subas aos sótãos - onde 
Os deuses, por trás das suas máscaras, 
Ocultam o próprio enigma. 
Não desças, não subas, fica. 
O mistério está é na tua vida! 
E é um sonho louco este nosso mundo..."
76,Bráulio Bessa,"Amar é ser consciente
da nossa própria loucura, 
é quando a gente se junta
formando uma só mistura, 
de igualdade e diferença. 
Se o amor fosse doença
seria dessas sem cura…"
77,Ivone Boechat,"Fingimento

Nunca fui poeta,
fingi que era para sobreviver.
Existe alguma forma mais bonita 
de enganar a si mesmo, 
brincar de ser profeta, 
ser feliz, viver?
Errei?
Sem a menor falsidade,
tenho certeza de que nunca os enganei,
os amigos
fingiram gostar dos meus versos
por solidariedade."
78,Rupi Kaur,"Qual é a maior lição que uma mulher pode aprender?

Que desde o primeiro dia, ela sempre teve tudo o que precisa dentro de si mesma. Foi o mundo que a convenceu que ela não tinha."
79,Edgar Allan Poe,"Nenhum homem que tenha vivido conhece mais sobre a vida depois da morte que eu ou você. Toda religião simplesmente desenvolveu-se com base na trapaça, no medo, na ganância, na imaginação e na poesia."
80,Carlos Drummond de Andrade,"Penetra surdamente no reino das palavras. 
Lá estão os poemas que esperam ser escritos. 
(...)
Chega mais perto e contempla as palavras.
Cada uma tem mil faces secretas sob a face neutra
e te pergunta, sem interesse pela resposta,
pobre ou terrível, que lhe deres:
""Trouxeste a chave?"""
81,Miguel de Cervantes,"Se o poeta fosse casto nos seus costumes, os seus versos também o seriam. A pena é a língua da alma: como forem os conceitos que nela se conceberem, assim serão os seus escritos."
82,Pablo Neruda,"Quero apenas cinco coisas... 
Primeiro é o amor sem fim 
A segunda é ver o outono 
A terceira é o grave inverno 
Em quarto lugar o verão 
A quinta coisa são teus olhos 
Não quero dormir sem teus olhos. 
Não quero ser... sem que me olhes. 
Abro mão da primavera para que continues me olhando."
83,Fernando Anitelli,"Metade de mim agora é assim, de um lado a poesia, o verbo, a saudade; do outro a luta, a força e a coragem pra chegar no fim. E o fim é belo, incerto... depende de como você vê!"
84,Filipe Ret,"Mente vazia que lota a bilheteria
No mercado que premia poeta sem poesia
Espirito em sintonia na seda que sede a brisa
Compondo tema enquanto queimo o que os verme não legaliza"
85,Carlos Drummond de Andrade,"Os médicos estão fazendo a autópsia
Dos desiludidos que se mataram
Que grande coração eles possuiam
Viscéras imensas, tripas sentimentais
E um estômago cheio de poesia."
86,Tati Bernardi,"Você me transformou no eufemismo de mim mesma, me fez sentir a menina com uma flor daquele poema, suavizou meu soco, amoleceu minha marcha e transformou minha dureza em dança."
87,Fernando Pessoa,Toda a poesia - e a canção é uma poesia ajudada - reflete o que a alma não tem. Por isso a canção dos povos tristes é alegre e a canção dos povos alegres é triste.
88,William Shakespeare,Se eu pudesse descrever a beleza dos teus olhos e enumerar teus atributos em épocas vindouras... diriam: o poeta mente! A Terra jamais foi acariciada por tal toque divino.
89,Florbela Espanca,"Nunca fui como todos
Nunca tive muitos amigos
Nunca fui favorita
Nunca fui o que meus pais queriam
Nunca tive alguém que amasse
Mas tive somente a mim
A minha absoluta verdade
Meu verdadeiro pensamento
O meu conforto nas horas de sofrimento
não vivo sozinha porque gosto
e sim porque aprendi a ser só..."
90,Bernardo Soares,"Tenho uma espécie de dever de sonhar sempre, pois, não sendo mais, nem querendo ser mais, que um espectador de mim mesmo, tenho que ter o melhor espetáculo que posso. Assim me construo a ouro e sedas, em salas supostas, palco falso, cenário antigo, sonho criado entre jogos de luzes brandas e músicas invisíveis."
91,Julien Green,São necessários anos de leitura atenta e inteligente para se apreciar a prosa e a poesia que fizeram a glória das nossas civilizações. A cultura não se improvisa.
92,Mário de Andrade,"Poemas da amiga 
VII 

Gosto de estar a teu lado, 
Sem brilho. 
Tua presença é uma carne de peixe, 
De resistência mansa e de um branco 
Ecoando azuis profundos. 

Eu tenho liberdade em ti. 
Anoiteço feito um bairro, 
Sem brilho algum. 

Estamos no interior duma asa 
Que fechou. 

De Poemas da Amiga"
93,Vinícius de Moraes,"Poética (II)

Com as lágrimas do tempo
e a cal do meu dia
eu fiz o cimento
da minha poesia

e na perspectiva
da vida futura
ergui em carne viva
sua arquitetura

não sei bem se é casa
se é torre ou se é templo
(um templo sem Deus)

mas é grande e clara
pertence a seu tempo
- entrai, irmãos meus!"
94,Bráulio Bessa,"Acredite no poder
da palavra “Desistir""
tire o D coloque o R
que você vai Resistir.
Uma pequena mudança
às vezes traz esperança
e faz a gente seguir."
95,Fernanda Mello,"Eu quero mais. Mais paz. Mais saúde. Mais poesia. Mais verdade. Mais noites bem dormidas. Mais noites em claro. Mais sorrisos, beijos e aquela rima grudada na boca."
96,William Shakespeare,"Há quem diga que todas as noites são de sonhos. 
Mas há também quem garanta que nem todas, só as de verão. No fundo, isto não tem muita importância. 
O que interessa mesmo não é a noite em si, são os sonhos. Sonhos que o homem sonha sempre, em todos os lugares, em todas as épocas do ano, dormindo ou acordado."
97,Carlos Drummond de Andrade,"Vamos fazer um poema
ou qualquer outra besteira.
Fitar por exemplo uma estrela
por muito tempo, muito tempo
e dar um suspiro fundo
ou qualquer outra besteira."
98,Sociedade dos Poetas Mortos,"Medicina, lei, negócios e engenharia são ocupações nobres para manter a vida. Mas poesia, beleza, romance e amor são razões para ficar vivo. (Robin Williams)"
99,Rubem Alves,"Ama a simplicidade
Ama a vida
Ama a beleza
Ama a Poesia
Ama as coisas que dão alegria
Ama a natureza e a reverência pela vida
Ama os mistérios
Ama Deus"
100,Paulo Leminski,"Parem
eu confesso
sou poeta
cada manhã que nasce
me nasce
uma rosa na face
parem
eu confesso
sou poeta
só meu amor é meu deus
eu sou o seu profeta."
101,Pablo Neruda,"Foi nessa idade que a poesia me veio buscar
Não sei de onde veio
Do inverno, de um rio
Não sei como nem quando
Não, não eram vozes
Não eram palavras
Nem silêncio
Mas da rua fui convocado
Dos galhos da noite
Abruptamente entre outros
Entre fogos violentos
Voltando sozinho
Lá estava eu sem rosto
E fui tocado."
102,Carlos Drummond de Andrade,"Se eu gosto de poesia?
Gosto de gente, bichos, plantas, lugares, chocolate, vinho, papos amenos, amizade, amor.
Acho que a poesia está contida nisso tudo."
103,W. Somerset Maugham,"Uma mulher bonita e fiel é tão rara como a tradução perfeita de um poema. Geralmente, a tradução não é bonita se é fiel e não é fiel se é bonita."
104,Pablo Neruda,"Se sou amado,
quanto mais amado
mais correspondo ao amor.

Se sou esquecido,
devo esquecer também,
Pois amor é feito espelho:
-tem que ter reflexo."
105,Thomas Mann,"A solidão mostra o original, a beleza ousada e surpreendente, a poesia. Mas a solidão também mostra o avesso, o desproporcionado, o absurdo e o ilícito."
106,Carlos Drummond de Andrade,O mundo é grande e cabe nesta janela sobre o mar. O mar é grande e cabe na cama e no colchão de amar. O amor é grande e cabe no breve espaço de beijar.
107,T. S. Eliot,"A poesia não é um modo de libertar a emoção, mas uma fuga da emoção; não é uma expressão da própria personalidade, mas uma fuga da personalidade."
108,Sociedade dos Poetas Mortos,"Não lemos e escrevemos poesia porque é bonitinho. Lemos e escrevemos poesia porque somos membros da raça humana e a raça humana está repleta de paixão. E medicina, advocacia, administração e engenharia, são objetivos nobres e necessários para manter-se vivo. Mas a poesia, beleza, romance, amor... é para isso que vivemos."
109,Clarice Pacheco,"Meus brinquedos

De repente
Ao lembrar dos brinquedos queridos 
Que ficaram esquecidos
Dentro do armário
Me bate uma saudade
Me bate uma vontade
De voltar no tempo
De voltar ao passado
Mas nada acontece
Nada parece acontecer
E eu choro
Choro como o bebê que fui
E a criança que quero voltar a ser
Não quero crescer!"
110,Charles Ramuz,"A poesia não está nem nos pensamentos, nem nas coisas, nem nas palavras; ela não é nem filosofia, nem descrição, nem eloquência: ela é inflexão."
111,Vinícius de Moraes,"Amor em paz

Eu amei
Eu amei, ai de mim, muito mais
Do que devia amar
E chorei
Ao sentir que iria sofrer
E me desesperar

Foi então
Que da minha infinita tristeza
Aconteceu você
Encontrei em você a razão de viver 
E de amar em paz
E não sofrer mais
Nunca mais
Porque o amor é a coisa mais triste
Quando se desfaz"
112,Fernando Anitelli,"E pra minha poesia é o ponto final
É o ponto em que recomeço,
Recanto e despeço da magia que balança o mundo

Bailarina, soldado de chumbo"
113,Carlos Drummond de Andrade,"Poema da purificação

Depois de tantos combates
o anjo bom matou o anjo mau
e jogou seu corpo no rio.
As água ficaram tintas
de um sangue que não descorava
e os peixes todos morreram.
Mas uma luz que ninguém soube
dizer de onde tinha vindo
apareceu para clarear o mundo,
e outro anjo pensou a ferida
do anjo batalhador."
114,Luan Santana,"Um beijo fala mais que mil palavras,
Um toque é bem mais que poesia...
Ninguém sabe explicar o que é o amor
Ninguém vai ser feliz sem ser amado."
115,Cazuza,"Não adianta desperdiçar sofrimento
Por quem não merece
É como escrever poemas no papel higiênico
E limpar o cu
Com os sentimentos mais nobres."
116,Sigmund Freud,Os poetas e os filósofos descobriram o inconsciente antes de mim. O que eu descobri foi o método científico que nos permite estudar o inconsciente.
117,Fernando Pessoa,"Quero para mim o espírito desta frase, transformada a forma para a casar com o que eu sou: Viver não é necessário; o que é necessário é criar."
118,Fernando Pessoa,"Como é por dentro outra pessoa?
Quem é que o saberá sonhar?
A alma de outrem é outro universo
Com que não há comunicação possível,
Com que não há verdadeiro entendimento.

Nada sabemos da alma
Senão da nossa;
As dos outros são olhares,
São gestos, são palavras,
Com a suposição
De qualquer semelhança no fundo."
119,Mario Quintana,"Qualquer ideia que te agrade,
Por isso mesmo... é tua.
O autor nada mais fez que vestir a verdade
Que dentro em ti se achava inteiramente nua..."
120,Fernando Anitelli,"O poeta pena quando cai o pano
E o pano cai 
Acordes em oferta, cordel em promoção
A Prosa presa em papel de bala
Música rara em liquidação"
121,emicida,"Rap e poesia... Arte e movimento...
Inspiração, de repente, de momento.
Nossa cultura é rica e sem igual,
Já dei o meu recado, ponto final!"
122,Mario Quintana,"Sonho 
Um poema que ao lê-lo, nem sentirias que ele já estivesse escrito, mas que fosse brotando, no mesmo instante, de teu próprio coração."
